iter	Passed	Remaining
0	3	3223
1	5	2654
2	7	2437
3	9	2340
4	11	2264
5	12	2011
6	14	2046
7	16	2086
8	19	2099
9	21	2084
10	22	2064
11	24	2050
12	26	2041
13	28	2033
14	30	2017
15	32	2013
16	34	2008
17	36	2002
18	38	1993
19	40	1993
20	41	1955
21	43	1949
22	45	1944
23	47	1946
24	49	1946
25	51	1941
26	53	1945
27	55	1943
28	57	1940
29	60	1940
30	62	1939
31	64	1937
32	65	1933
33	67	1929
34	69	1926
35	71	1920
36	73	1914
37	75	1909
38	77	1902
39	79	1896
40	81	1901
41	83	1900
42	85	1894
43	86	1888
44	88	1885
45	90	1880
46	92	1876
47	94	1873
48	96	1870
49	98	1865
50	100	1861
51	101	1858
52	103	1854
53	105	1850
54	107	1846
55	109	1847
56	111	1846
57	113	1844
58	115	1839
59	117	1835
60	119	1831
61	120	1828
62	122	1826
63	124	1825
64	126	1822
65	128	1818
66	130	1815
67	132	1812
68	134	1810
69	136	1807
70	137	1805
71	139	1803
72	141	1800
73	143	1796
74	145	1793
75	147	1791
76	149	1788
77	151	1785
78	152	1782
79	154	1779
80	156	1777
81	158	1775
82	160	1772
83	162	1769
84	164	1766
85	165	1763
86	167	1760
87	169	1757
88	171	1755
89	173	1752
90	175	1750
91	176	1746
92	178	1743
93	180	1741
94	182	1739
95	184	1736
96	186	1734
97	188	1731
98	188	1715
99	190	1713
100	192	1711
101	194	1709
102	196	1706
103	197	1704
104	199	1702
105	201	1700
106	203	1698
107	205	1696
108	207	1694
109	209	1691
110	210	1689
111	212	1687
112	214	1685
113	216	1683
114	218	1681
115	220	1678
116	222	1676
117	223	1674
118	225	1672
119	227	1669
120	229	1667
121	231	1665
122	233	1662
123	235	1660
124	236	1658
125	238	1656
126	240	1653
127	242	1651
128	244	1649
129	246	1647
130	248	1645
131	249	1643
132	251	1641
133	253	1639
134	255	1638
135	257	1635
136	259	1633
137	261	1631
138	263	1629
139	264	1627
140	266	1625
141	268	1623
142	270	1620
143	272	1618
144	274	1616
145	276	1615
146	278	1613
147	280	1613
148	282	1613
149	284	1612
150	286	1610
151	288	1607
152	290	1605
153	291	1602
154	293	1601
155	295	1598
156	297	1597
